Index,date,State,Rt,Climate,Region,RtVarianceByState,ClimateVarianceByState,RtVarianceByRegion,ClimateVarianceByRegion
96,8/1/2020,AL,0.943888403,82.5,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",-1.687610364,0.970335043,-0.71687964,0.954907167
1248,8/1/2020,ID,0.940853193,83.5,"Region 10 AK, ID, OR, WA",-2.392748674,1.408703305,-1.808034606,1.726855867
672,8/1/2020,DC,0.943534198,81.5,"Region 03 DC, DE, MD, PA, VA, WV",-1.130364267,1.188383857,-1.545841071,1.262669673
4800,8/1/2020,WY,0.949641967,68,"Region 08 CO, MT, ND, SD, UT, WY",-2.349879624,0.592023083,-2.093786101,0.335982888
4512,8/1/2020,WA,0.887636381,75,"Region 10 AK, ID, OR, WA",-2.93356091,1.238966174,-2.666530029,1.122118187
3744,8/1/2020,RI,0.895264567,78.5,"Region 01 CT,MA,ME,NH,RI,VT",-2.045225242,1.209996461,-1.87379784,1.34728138
1152,8/1/2020,IA,1.113522229,72.5,"Region 07 IA, KS, MO, NE",-0.005346289,0.723107279,0.248966424,0.590350477
384,8/1/2020,CA,0.951999125,71.5,"Region 09 AZ, CA, HI, NV",-0.379844917,0.140165487,-0.686103414,-0.917584599
3840,8/1/2020,SC,0.963337679,84,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",-0.299656693,1.13502304,-0.464089388,1.068513803
3456,8/1/2020,OK,0.961625322,76,"Region 06 AR, LA, NM, OK, TX",-2.235442494,0.620749508,-0.83584201,0.28187448
1440,8/1/2020,IN,0.990316703,69,"Region 05 IL, IN, MI, MN, OH, WI",-1.402641256,0.541106986,-1.060984697,0.619170916
1536,8/1/2020,KS,1.037966383,74.5,"Region 07 IA, KS, MO, NE",-0.625027166,0.678171958,-0.676040319,0.73639305
960,8/1/2020,GA,0.953985381,81.5,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",-0.679212915,0.961454774,-0.585645058,0.879169409
3936,8/1/2020,SD,1.199412396,72.5,"Region 08 CO, MT, ND, SD, UT, WY",1.783068231,0.750535651,1.117192831,0.6197918
2016,8/1/2020,ME,1.001677398,73.5,"Region 01 CT,MA,ME,NH,RI,VT",-0.548937301,1.273707864,-0.989244252,0.935242475
2880,8/1/2020,NH,0.948722707,79.5,"Region 01 CT,MA,ME,NH,RI,VT",-3.030223221,1.309500129,-1.429428593,1.429689161
3552,8/1/2020,OR,0.955454717,71,"Region 10 AK, ID, OR, WA",-1.504022583,0.732167882,-1.572482324,0.837535749
3072,8/1/2020,NM,0.906390224,77.5,"Region 06 AR, LA, NM, OK, TX",-2.013166348,0.681851101,-1.561872517,0.414046166
1824,8/1/2020,MA,0.886262709,75,"Region 01 CT,MA,ME,NH,RI,VT",-2.638243611,0.995404929,-1.948625525,1.058854146
768,8/1/2020,DE,0.963792732,79,"Region 03 DC, DE, MD, PA, VA, WV",-1.562354632,1.199296827,-1.253186142,1.026165468
2592,8/1/2020,NC,1.021678437,72.5,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",0.447860329,0.591813594,0.294189478,0.197529594
4320,8/1/2020,VA,0.968549164,81.5,"Region 03 DC, DE, MD, PA, VA, WV",-0.820872579,0.904907241,-1.184474691,1.262669673
576,8/1/2020,CT,0.974435898,78,"Region 01 CT,MA,ME,NH,RI,VT",-1.913572446,1.211326984,-1.215688435,1.30607749
2688,8/1/2020,ND,1.1631872,72.5,"Region 08 CO, MT, ND, SD, UT, WY",0.655855538,0.591813594,0.65149182,0.6197918
2304,8/1/2020,MO,0.996478785,73,"Region 07 IA, KS, MO, NE",-1.18580316,0.563272922,-1.183960089,0.62686112
1344,8/1/2020,IL,1.021145261,74.5,"Region 05 IL, IN, MI, MN, OH, WI",-0.523278033,0.797050649,-0.721483148,1.057355538
480,8/1/2020,CO,0.907700654,73.5,"Region 08 CO, MT, ND, SD, UT, WY",-2.024667405,0.591105486,-2.632971916,0.682860447
288,8/1/2020,AZ,0.843522815,102,"Region 09 AZ, CA, HI, NV",-2.274154911,1.233764871,-2.09182881,1.975604477
4416,8/1/2020,VT,0.940571065,75,"Region 01 CT,MA,ME,NH,RI,VT",-1.676992285,1.238966174,-1.497188882,1.058854146
4704,8/1/2020,WV,0.993002863,80,"Region 03 DC, DE, MD, PA, VA, WV",-0.898433075,1.356225847,-0.831216378,1.12076715
3360,8/1/2020,OH,0.94261141,75,"Region 05 IL, IN, MI, MN, OH, WI",-1.105634239,1.08341972,-1.586342415,1.097190504
2208,8/1/2020,MN,1.078993759,71.5,"Region 05 IL, IN, MI, MN, OH, WI",-0.223399171,1.06488833,-0.084422709,0.818345744
192,8/1/2020,AR,0.936078493,79,"Region 06 AR, LA, NM, OK, TX",-1.94188827,0.768283289,-1.171638956,0.546217853
1728,8/1/2020,LA,0.920382285,82.5,"Region 06 AR, LA, NM, OK, TX",-1.274104129,0.620495558,-1.377955705,0.854618456
3168,8/1/2020,NV,0.937377642,102,"Region 09 AZ, CA, HI, NV",-1.105270319,1.573703367,-0.875580637,1.975604477
4609,8/2/2020,WI,0.990668207,71.5,"Region 05 IL, IN, MI, MN, OH, WI",-1.818821448,0.803428987,-1.057113736,0.818345744
1441,8/2/2020,IN,0.984544521,72,"Region 05 IL, IN, MI, MN, OH, WI",-1.499206303,0.818153763,-1.124551236,0.85818071
289,8/2/2020,AZ,0.849922993,101,"Region 09 AZ, CA, HI, NV",-2.195192501,1.130592896,-2.00889003,1.880745819
769,8/2/2020,DE,0.971072146,84.5,"Region 03 DC, DE, MD, PA, VA, WV",-1.454159859,1.732991495,-1.148027674,1.546474719
3649,8/2/2020,PA,0.982466138,77,"Region 03 DC, DE, MD, PA, VA, WV",-2.049661362,1.079577681,-0.983429983,0.836962104
2113,8/2/2020,MI,1.019533096,69.5,"Region 05 IL, IN, MI, MN, OH, WI",-0.917963004,0.889149133,-0.739237222,0.659005882
4801,8/2/2020,WY,0.953930433,68,"Region 08 CO, MT, ND, SD, UT, WY",-2.30500278,0.592023083,-2.038654779,0.335982888
3937,8/2/2020,SD,1.199213297,69,"Region 08 CO, MT, ND, SD, UT, WY",1.778947508,0.533232782,1.11463327,0.399051535
3553,8/2/2020,OR,0.959347658,73.5,"Region 10 AK, ID, OR, WA",-1.444755594,1.011310521,-1.509681268,1.015399772
2593,8/2/2020,NC,1.015825515,70,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",0.254588603,0.425981414,0.218116639,0.0081852
2305,8/2/2020,MO,0.997530765,75,"Region 07 IA, KS, MO, NE",-1.168664833,0.732519245,-1.171081025,0.772903693
1345,8/2/2020,IL,1.020082112,76.5,"Region 05 IL, IN, MI, MN, OH, WI",-0.534772836,0.951943083,-0.733191147,1.216695401
4705,8/2/2020,WV,1.007647768,72.5,"Region 03 DC, DE, MD, PA, VA, WV",-0.711492404,0.611955565,-0.619655974,0.411254535
3457,8/2/2020,OK,0.961227948,77.5,"Region 06 AR, LA, NM, OK, TX",-2.258848591,0.74507208,-0.841065241,0.414046166
2209,8/2/2020,MN,1.074441531,65,"Region 05 IL, IN, MI, MN, OH, WI",-0.26477975,0.62115523,-0.134554423,0.300491191
2689,8/2/2020,ND,1.171588223,70,"Region 08 CO, MT, ND, SD, UT, WY",0.808664875,0.425981414,0.759493028,0.462120182
865,8/2/2020,FL,0.924610855,84.5,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",-1.400761525,0.709375432,-0.967437873,1.106382681
1249,8/2/2020,ID,0.943376857,82,"Region 10 AK, ID, OR, WA",-2.337536534,1.287125076,-1.767322773,1.620137453
4033,8/2/2020,TN,0.939403164,69,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",-1.626538578,0.533232782,-0.775176139,-0.067552557
2785,8/2/2020,NE,1.023113261,70,"Region 07 IA, KS, MO, NE",-1.001700459,0.425981414,-0.857882476,0.407797262
97,8/2/2020,AL,0.952899005,81,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",-1.51585283,0.784772963,-0.599765134,0.841300531
193,8/2/2020,AR,0.935453854,78,"Region 06 AR, LA, NM, OK, TX",-1.955491031,0.675626008,-1.179849442,0.458103395
4129,8/2/2020,TX,0.957083001,84,"Region 06 AR, LA, NM, OK, TX",-0.440750092,0.631863851,-0.895547953,0.986790143
2881,8/2/2020,NH,0.952914138,79,"Region 01 CT,MA,ME,NH,RI,VT",-2.951574678,1.269298015,-1.394587444,1.388485271
2977,8/2/2020,NJ,0.992003671,85,"Region 02 NJ, NY",-1.131673261,1.631705912,-1.285052176,1.68367532
4417,8/2/2020,VT,0.941910036,77.5,"Region 01 CT,MA,ME,NH,RI,VT",-1.666975338,1.447634161,-1.486058725,1.264873599
1633,8/2/2020,KY,1.004046535,74.5,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",-0.884192772,0.654495607,0.065020384,0.349005108
1057,8/2/2020,HI,1.10580642,78.5,"Region 09 AZ, CA, HI, NV",2.184823297,-0.358493119,1.307058233,-0.253573991
3745,8/2/2020,RI,0.896494122,77,"Region 01 CT,MA,ME,NH,RI,VT",-2.033883339,1.079577681,-1.8635772,1.223669709
1921,8/2/2020,MD,0.952138763,86,"Region 03 DC, DE, MD, PA, VA, WV",-1.56459306,1.700737086,-1.421539463,1.688377242
481,8/2/2020,CO,0.906417242,73,"Region 08 CO, MT, ND, SD, UT, WY",-2.037911578,0.558567569,-2.649471103,0.651326123
4225,8/2/2020,UT,1.012023757,89,"Region 08 CO, MT, ND, SD, UT, WY",-1.785530035,1.428937144,-1.291823217,1.660424476
2497,8/2/2020,MT,0.989865402,79,"Region 08 CO, MT, ND, SD, UT, WY",-1.491897142,1.127175225,-1.576684846,1.029738006
3265,8/2/2020,NY,0.95440087,83,"Region 02 NJ, NY",-2.51653053,1.537974679,-2.01845503,1.494741561
577,8/2/2020,CT,0.979264917,79,"Region 01 CT,MA,ME,NH,RI,VT",-1.852776438,1.29483678,-1.175547354,1.388485271
1729,8/2/2020,LA,0.924865171,84,"Region 06 AR, LA, NM, OK, TX",-1.215167775,0.818613874,-1.319030998,0.986790143
1153,8/2/2020,IA,1.115119903,72.5,"Region 07 IA, KS, MO, NE",0.010903002,0.723107279,0.26852625,0.590350477
1825,8/2/2020,MA,0.887971745,78.5,"Region 01 CT,MA,ME,NH,RI,VT",-2.616612675,1.306382201,-1.934419213,1.34728138
673,8/2/2020,DC,0.944777717,85.5,"Region 03 DC, DE, MD, PA, VA, WV",-1.111587264,1.592045424,-1.527877186,1.641076401
4513,8/2/2020,WA,0.887376061,77.5,"Region 10 AK, ID, OR, WA",-2.939713401,1.447634161,-2.67072952,1.29998221
2017,8/2/2020,ME,0.995921545,74,"Region 01 CT,MA,ME,NH,RI,VT",-0.577829025,1.313916991,-1.037089614,0.976446365
961,8/2/2020,GA,0.953771744,83,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",-0.683011009,1.134841734,-0.588421786,0.992776045
1,8/2/2020,AK,0.97046394,61.5,"Region 10 AK, ID, OR, WA",-2.043162407,1.165595172,-1.330353028,0.161652459
4321,8/2/2020,VA,0.970868023,87,"Region 03 DC, DE, MD, PA, VA, WV",-0.776137325,1.519429458,-1.150976437,1.782978924
385,8/2/2020,CA,0.943976341,71,"Region 09 AZ, CA, HI, NV",-0.494428053,0.04405201,-0.790069259,-0.965013928
3361,8/2/2020,OH,0.943355977,70.5,"Region 05 IL, IN, MI, MN, OH, WI",-1.098878113,0.659472873,-1.578142821,0.738675813
3841,8/2/2020,SC,0.961697925,85.5,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",-0.318876453,1.306257527,-0.485401946,1.182120439
3169,8/2/2020,NV,0.930673243,97,"Region 09 AZ, CA, HI, NV",-1.185181894,1.111839952,-0.962461763,1.501311186
1537,8/2/2020,KS,1.039901179,74,"Region 07 IA, KS, MO, NE",-0.599267456,0.639784866,-0.652353213,0.699882407
3073,8/2/2020,NM,0.91234219,78.5,"Region 06 AR, LA, NM, OK, TX",-1.949406886,0.764656548,-1.48363768,0.502160624
482,8/3/2020,CO,0.912590435,72,"Region 08 CO, MT, ND, SD, UT, WY",-1.9742073,0.493491736,-2.570110256,0.588257476
2210,8/3/2020,MN,1.070353343,63,"Region 05 IL, IN, MI, MN, OH, WI",-0.301942122,0.484621968,-0.179575866,0.141151328
1346,8/3/2020,IL,1.018007862,66.5,"Region 05 IL, IN, MI, MN, OH, WI",-0.557199696,0.177480914,-0.756033964,0.419996088
4706,8/3/2020,WV,1.022925362,72.5,"Region 03 DC, DE, MD, PA, VA, WV",-0.516475523,0.611955565,-0.39895574,0.411254535
3554,8/3/2020,OR,0.960478305,73,"Region 10 AK, ID, OR, WA",-1.427542375,0.955481994,-1.491441632,0.979826968
1730,8/3/2020,LA,0.933462046,85.5,"Region 06 AR, LA, NM, OK, TX",-1.102144945,1.016732189,-1.206030501,1.11896183
4322,8/3/2020,VA,0.9743854,84.5,"Region 03 DC, DE, MD, PA, VA, WV",-0.708280352,1.240101177,-1.100164383,1.546474719
3074,8/3/2020,NM,0.91485399,77.5,"Region 06 AR, LA, NM, OK, TX",-1.92249964,0.681851101,-1.450621654,0.414046166
1826,8/3/2020,MA,0.894712778,82.5,"Region 01 CT,MA,ME,NH,RI,VT",-2.531292732,1.661784798,-1.87838457,1.676912505
4418,8/3/2020,VT,0.939919592,74,"Region 01 CT,MA,ME,NH,RI,VT",-1.681866006,1.155498979,-1.502604233,0.976446365
578,8/3/2020,CT,0.984831105,81.5,"Region 01 CT,MA,ME,NH,RI,VT",-1.782699676,1.503611269,-1.129278577,1.594504724
3938,8/3/2020,SD,1.200645169,64.5,"Region 08 CO, MT, ND, SD, UT, WY",1.808582753,0.25384338,1.133041016,0.115242623
2018,8/3/2020,ME,0.996672309,78,"Region 01 CT,MA,ME,NH,RI,VT",-0.574060536,1.635590006,-1.03084891,1.30607749
3170,8/3/2020,NV,0.930083539,94.5,"Region 09 AZ, CA, HI, NV",-1.192210738,0.880908244,-0.970103633,1.264164541
2882,8/3/2020,NH,0.957869195,81.5,"Region 01 CT,MA,ME,NH,RI,VT",-2.85859736,1.470308588,-1.353398676,1.594504724
770,8/3/2020,DE,0.973145625,80.5,"Region 03 DC, DE, MD, PA, VA, WV",-1.423341501,1.344849918,-1.118074182,1.168067991
290,8/3/2020,AZ,0.859403364,101.5,"Region 09 AZ, CA, HI, NV",-2.078228107,1.182178883,-1.886035572,1.928175148
3362,8/3/2020,OH,0.944887788,72.5,"Region 05 IL, IN, MI, MN, OH, WI",-1.084978614,0.847893694,-1.561273651,0.898015675
1538,8/3/2020,KS,1.04341521,69.5,"Region 07 IA, KS, MO, NE",-0.552481943,0.294301038,-0.609332024,0.371286618
4514,8/3/2020,WA,0.887340561,74,"Region 10 AK, ID, OR, WA",-2.94055242,1.155498979,-2.671302207,1.050972577
4610,8/3/2020,WI,0.996029031,62,"Region 05 IL, IN, MI, MN, OH, WI",-1.737476942,0.044519369,-0.998077304,0.061481397
1442,8/3/2020,IN,0.981651315,72,"Region 05 IL, IN, MI, MN, OH, WI",-1.547607855,0.818153763,-1.15641286,0.85818071
386,8/3/2020,CA,0.942180122,73.5,"Region 09 AZ, CA, HI, NV",-0.520082041,0.524619394,-0.813346144,-0.727867283
674,8/3/2020,DC,0.945023649,80.5,"Region 03 DC, DE, MD, PA, VA, WV",-1.107873717,1.087468466,-1.524324451,1.168067991
3266,8/3/2020,NY,0.962303791,79,"Region 02 NJ, NY",-2.319362204,1.154604165,-1.864316917,1.116874043
2786,8/3/2020,NE,1.019054778,66.5,"Region 07 IA, KS, MO, NE",-1.051639554,0.193816361,-0.907569223,0.15222276
4226,8/3/2020,UT,1.014765292,88,"Region 08 CO, MT, ND, SD, UT, WY",-1.687670704,1.358117337,-1.256578809,1.597355829
1922,8/3/2020,MD,0.962096932,80.5,"Region 03 DC, DE, MD, PA, VA, WV",-1.419971482,1.174211621,-1.277683681,1.168067991
2114,8/3/2020,MI,1.020122756,68.5,"Region 05 IL, IN, MI, MN, OH, WI",-0.911037707,0.803015615,-0.732743552,0.57933595
4034,8/3/2020,TN,0.9423989,64.5,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",-1.57709244,0.25384338,-0.736239324,-0.408372465
4130,8/3/2020,TX,0.947524327,85.5,"Region 06 AR, LA, NM, OK, TX",-0.570187331,0.78275671,-1.021190691,1.11896183
2978,8/3/2020,NJ,0.990814784,82.5,"Region 02 NJ, NY",-1.151312147,1.399915785,-1.308240159,1.447508121
866,8/3/2020,FL,0.9245037,85.5,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",-1.402414813,0.951724334,-0.968830611,1.182120439
2690,8/3/2020,ND,1.175001355,66.5,"Region 08 CO, MT, ND, SD, UT, WY",0.870747605,0.193816361,0.8033713,0.241379917
1634,8/3/2020,KY,1.001294096,76,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",-0.941550778,0.807868052,0.0292458,0.462611744
194,8/3/2020,AR,0.939388598,78.5,"Region 06 AR, LA, NM, OK, TX",-1.869804126,0.721954648,-1.128129715,0.502160624
962,8/3/2020,GA,0.956067262,80,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",-0.642200696,0.788067815,-0.558585993,0.765562773
3458,8/3/2020,OK,0.96486323,73,"Region 06 AR, LA, NM, OK, TX",-2.044723451,0.372104365,-0.793281753,0.017531106
3650,8/3/2020,PA,0.988900819,85.5,"Region 03 DC, DE, MD, PA, VA, WV",-1.916613616,1.818617435,-0.890474535,1.641076401
3842,8/3/2020,SC,0.962767537,80,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",-0.306339398,0.678397742,-0.471499758,0.765562773
3746,8/3/2020,RI,0.898833788,85.5,"Region 01 CT,MA,ME,NH,RI,VT",-2.012301333,1.818617435,-1.844128794,1.924135848
2498,8/3/2020,MT,0.987421748,76.5,"Region 08 CO, MT, ND, SD, UT, WY",-1.526730306,0.977467392,-1.608099779,0.872066388
1250,8/3/2020,ID,0.939937613,80.5,"Region 10 AK, ID, OR, WA",-2.412779523,1.165546846,-1.822804774,1.513419039
98,8/3/2020,AL,0.964743978,81.5,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",-1.290067321,0.84662699,-0.44581114,0.879169409
2594,8/3/2020,NC,1.015361721,66.5,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",0.239273472,0.193816361,0.212088517,-0.25689695
2306,8/3/2020,MO,1.001707237,70,"Region 07 IA, KS, MO, NE",-1.10062386,0.309403436,-1.119949776,0.407797262
1154,8/3/2020,IA,1.122507423,67,"Region 07 IA, KS, MO, NE",0.086038458,0.341688055,0.358969362,0.188733403
4802,8/3/2020,WY,0.953021887,69.5,"Region 08 CO, MT, ND, SD, UT, WY",-2.3145103,0.68679943,-2.050334792,0.430585859
2,8/3/2020,AK,0.979909811,59,"Region 10 AK, ID, OR, WA",-1.888804449,0.975229169,-1.177971916,-0.016211565
1058,8/3/2020,HI,1.089867371,79,"Region 09 AZ, CA, HI, NV",1.900739232,0.071698624,1.100506904,-0.206144662
1347,8/4/2020,IL,1.018965911,67.5,"Region 05 IL, IN, MI, MN, OH, WI",-0.546841238,0.254927131,-0.745483385,0.499666019
1923,8/4/2020,MD,0.970993665,78,"Region 03 DC, DE, MD, PA, VA, WV",-1.290765042,0.934881864,-1.149161412,0.931563786
2979,8/4/2020,NJ,0.99452489,75.5,"Region 02 NJ, NY",-1.090025962,0.750903431,-1.235878466,0.786239965
3651,8/4/2020,PA,0.999480251,79,"Region 03 DC, DE, MD, PA, VA, WV",-1.697866241,1.253469388,-0.737643984,1.026165468
3267,8/4/2020,NY,0.96928582,74.5,"Region 02 NJ, NY",-2.145169019,0.723312337,-1.728139827,0.691773086
195,8/4/2020,AR,0.942136682,77,"Region 06 AR, LA, NM, OK, TX",-1.809959112,0.582968727,-1.092007885,0.369988937
2691,8/4/2020,ND,1.181323258,66.5,"Region 08 CO, MT, ND, SD, UT, WY",0.985739054,0.193816361,0.884643921,0.241379917
675,8/4/2020,DC,0.947759107,79.5,"Region 03 DC, DE, MD, PA, VA, WV",-1.066568596,0.986553074,-1.484808005,1.073466309
387,8/4/2020,CA,0.937708189,71.5,"Region 09 AZ, CA, HI, NV",-0.583951155,0.140165487,-0.871297136,-0.917584599
867,8/4/2020,FL,0.922126234,85,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",-1.4390966,0.830549883,-0.999731516,1.14425156
4227,8/4/2020,UT,1.016477805,82,"Region 08 CO, MT, ND, SD, UT, WY",-1.626542404,0.933198496,-1.234563219,1.218943947
1155,8/4/2020,IA,1.127386838,66,"Region 07 IA, KS, MO, NE",0.135665,0.272339105,0.418706523,0.115712116
1059,8/4/2020,HI,1.074663438,77,"Region 09 AZ, CA, HI, NV",1.62975725,-1.649068345,0.903481814,-0.395861979
291,8/4/2020,AZ,0.86826888,99,"Region 09 AZ, CA, HI, NV",-1.968849507,0.924248945,-1.771148912,1.691028503
4611,8/4/2020,WI,0.997073941,64.5,"Region 05 IL, IN, MI, MN, OH, WI",-1.721621602,0.244232426,-0.986570163,0.260656225
1443,8/4/2020,IN,0.982851317,66.5,"Region 05 IL, IN, MI, MN, OH, WI",-1.527532561,0.310234672,-1.143197758,0.419996088
771,8/4/2020,DE,0.980290181,75.5,"Region 03 DC, DE, MD, PA, VA, WV",-1.317151137,0.859672947,-1.014863874,0.695059581
4803,8/4/2020,WY,0.95815326,71,"Region 08 CO, MT, ND, SD, UT, WY",-2.260812818,0.781575777,-1.984367293,0.525188829
4131,8/4/2020,TX,0.93713075,85,"Region 06 AR, LA, NM, OK, TX",-0.710930275,0.73245909,-1.157807702,1.074904601
3459,8/4/2020,OK,0.967485533,72.5,"Region 06 AR, LA, NM, OK, TX",-1.890264733,0.330663507,-0.758813235,-0.026526123
2787,8/4/2020,NE,1.020167939,66.5,"Region 07 IA, KS, MO, NE",-1.037942255,0.193816361,-0.893941138,0.15222276
99,8/4/2020,AL,0.975519571,80.5,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",-1.084666029,0.722918936,-0.305756319,0.803431652
2115,8/4/2020,MI,1.020205137,64.5,"Region 05 IL, IN, MI, MN, OH, WI",-0.910070178,0.458481541,-0.731836326,0.260656225
2019,8/4/2020,ME,0.996944402,70.5,"Region 01 CT,MA,ME,NH,RI,VT",-0.572694755,1.032453103,-1.028587145,0.688019131
2883,8/4/2020,NH,0.962936442,77,"Region 01 CT,MA,ME,NH,RI,VT",-2.763514895,1.108489556,-1.311277331,1.223669709
3363,8/4/2020,OH,0.948441266,69.5,"Region 05 IL, IN, MI, MN, OH, WI",-1.052734711,0.565262463,-1.522140738,0.659005882
3843,8/4/2020,SC,0.967330372,80.5,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",-0.252857843,0.735475904,-0.412194712,0.803431652
1539,8/4/2020,KS,1.046164233,67,"Region 07 IA, KS, MO, NE",-0.515881683,0.102365579,-0.575676589,0.188733403
4515,8/4/2020,WA,0.895203677,68,"Region 10 AK, ID, OR, WA",-2.754712877,0.65469581,-2.544454152,0.62409892
4035,8/4/2020,TN,0.948891761,65,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",-1.469924485,0.284886647,-0.651848935,-0.370503586
1251,8/4/2020,ID,0.941278974,76.5,"Region 10 AK, ID, OR, WA",-2.383433536,0.841338234,-1.801165893,1.228836601
1635,8/4/2020,KY,1.001241279,73.5,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",-0.94265143,0.55224731,0.028559316,0.273267351
963,8/4/2020,GA,0.955767607,79.5,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",-0.64752804,0.730272161,-0.562480732,0.727693895
2499,8/4/2020,MT,0.988699712,72,"Region 08 CO, MT, ND, SD, UT, WY",-1.508513517,0.707993293,-1.591670631,0.588257476
4707,8/4/2020,WV,1.040781166,75,"Region 03 DC, DE, MD, PA, VA, WV",-0.288548063,0.860045659,-0.141010666,0.64775874
2211,8/4/2020,MN,1.068052324,63.5,"Region 05 IL, IN, MI, MN, OH, WI",-0.322858803,0.518755283,-0.204915991,0.180986294
579,8/4/2020,CT,0.989802988,77,"Region 01 CT,MA,ME,NH,RI,VT",-1.720105049,1.127817188,-1.087949942,1.223669709
1731,8/4/2020,LA,0.93454797,85.5,"Region 06 AR, LA, NM, OK, TX",-1.087868338,1.016732189,-1.191756715,1.11896183
3747,8/4/2020,RI,0.89871847,79,"Region 01 CT,MA,ME,NH,RI,VT",-2.013365072,1.253469388,-1.845087371,1.388485271
4419,8/4/2020,VT,0.944628319,68,"Region 01 CT,MA,ME,NH,RI,VT",-1.64663965,0.65469581,-1.463463076,0.481999678
1827,8/4/2020,MA,0.901371216,74.5,"Region 01 CT,MA,ME,NH,RI,VT",-2.447018177,0.950979605,-1.823036497,1.017650256
3555,8/4/2020,OR,0.955613787,74.5,"Region 10 AK, ID, OR, WA",-1.501600866,1.122967577,-1.569916202,1.086545382
2307,8/4/2020,MO,1.005534069,66,"Region 07 IA, KS, MO, NE",-1.038279045,-0.029089212,-1.073099061,0.115712116
3939,8/4/2020,SD,1.208416274,65,"Region 08 CO, MT, ND, SD, UT, WY",1.969420177,0.284886647,1.232944174,0.146776947
3075,8/4/2020,NM,0.922834967,83,"Region 06 AR, LA, NM, OK, TX",-1.83700473,1.137281059,-1.345716748,0.898675685
2595,8/4/2020,NC,1.011225019,66.5,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",0.102673747,0.193816361,0.158322097,-0.25689695
