date,State,Rt,Climate,Region,RtVarianceByState,ClimateVarianceByState
10/20/2020,AK,1.137851767,27,"Region 10 AK, ID, OR, WA",0.692174877,-1.461455668
10/21/2020,AK,1.135445222,29,"Region 10 AK, ID, OR, WA",0.652848766,-1.309162866
10/22/2020,AK,1.127554194,24.5,"Region 10 AK, ID, OR, WA",0.523898989,-1.651821671
10/23/2020,AK,1.128208419,24.5,"Region 10 AK, ID, OR, WA",0.534589886,-1.651821671
10/24/2020,AK,1.126902793,27.5,"Region 10 AK, ID, OR, WA",0.513254239,-1.423382467
10/25/2020,AK,1.124390721,33,"Region 10 AK, ID, OR, WA",0.472203678,-1.004577261
10/26/2020,AK,1.123310023,37.5,"Region 10 AK, ID, OR, WA",0.454543651,-0.661918456
10/27/2020,AK,1.128243467,34.5,"Region 10 AK, ID, OR, WA",0.535162616,-0.890357659
10/28/2020,AK,1.129135041,28.5,"Region 10 AK, ID, OR, WA",0.549732108,-1.347236066
10/29/2020,AK,1.119626892,26,"Region 10 AK, ID, OR, WA",0.394356446,-1.537602069
10/30/2020,AK,1.119514506,23.5,"Region 10 AK, ID, OR, WA",0.392519911,-1.727968072
10/31/2020,AK,1.120572609,22.5,"Region 10 AK, ID, OR, WA",0.409810706,-1.804114473
11/1/2020,AK,1.125544019,15.5,"Region 10 AK, ID, OR, WA",0.491050085,-2.337139281
11/2/2020,AK,1.122005582,11.5,"Region 10 AK, ID, OR, WA",0.43322737,-2.641724886
11/3/2020,AK,1.117663379,7.5,"Region 10 AK, ID, OR, WA",0.362270061,-2.946310491
11/4/2020,AK,1.120237903,7,"Region 10 AK, ID, OR, WA",0.404341169,-2.984383691
8/1/2020,AL,0.943888403,82.5,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",-1.687610364,0.970335043
8/2/2020,AL,0.952899005,81,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",-1.51585283,0.784772963
8/3/2020,AL,0.964743978,81.5,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",-1.290067321,0.84662699
8/4/2020,AL,0.975519571,80.5,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",-1.084666029,0.722918936
8/5/2020,AL,0.987161253,81.5,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",-0.862755596,0.84662699
8/6/2020,AL,1.001152828,81,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",-0.596052169,0.784772963
8/7/2020,AL,1.012330161,81.5,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",-0.382993024,0.84662699
8/8/2020,AL,1.025698396,81.5,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",-0.128171528,0.84662699
8/9/2020,AL,1.039516914,83.5,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",0.135233135,1.094043096
8/10/2020,AL,1.049526044,84.5,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",0.326024327,1.21775115
8/11/2020,AL,1.053955665,84,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",0.410460503,1.155897123
8/12/2020,AL,1.060004328,83.5,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",0.525758399,1.094043096
8/13/2020,AL,1.064956904,82.5,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",0.620162995,0.970335043
8/14/2020,AL,1.07083024,82,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",0.732118856,0.908481016
8/15/2020,AL,1.068689853,81,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",0.691319408,0.784772963
8/16/2020,AL,1.06670651,82,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",0.653513487,0.908481016
8/17/2020,AL,1.064099033,81,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",0.603810502,0.784772963
8/18/2020,AL,1.055128183,81,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",0.432810708,0.784772963
8/19/2020,AL,1.04760183,81,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",0.289345506,0.784772963
8/20/2020,AL,1.039805143,78,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",0.140727275,0.413648803
8/21/2020,AL,1.031324323,78,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",-0.020931706,0.413648803
8/22/2020,AL,1.022549272,78.5,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",-0.188199234,0.47550283
8/23/2020,AL,1.011573282,80,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",-0.397420437,0.66106491
8/24/2020,AL,1.003952857,80.5,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",-0.542678812,0.722918936
8/25/2020,AL,0.990168941,79.5,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",-0.805423902,0.599210883
8/26/2020,AL,0.97704873,83,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",-1.055517635,1.03218907
8/27/2020,AL,0.968270245,82.5,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",-1.222850621,0.970335043
8/28/2020,AL,0.964405,81,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",-1.296528823,0.784772963
8/29/2020,AL,0.957193277,80.5,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",-1.433996637,0.722918936
8/30/2020,AL,0.952709216,81.5,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",-1.519470534,0.84662699
8/31/2020,AL,0.94842365,82.5,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",-1.601160775,0.970335043
9/1/2020,AL,0.946092921,83,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",-1.645588469,1.03218907
9/2/2020,AL,0.944123564,83,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",-1.683127792,1.03218907
9/3/2020,AL,0.942552952,83,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",-1.713066352,1.03218907
9/4/2020,AL,0.941149884,83,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",-1.739811235,1.03218907
9/5/2020,AL,0.939753539,80,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",-1.766427967,0.66106491
9/6/2020,AL,0.940948341,78,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",-1.743652991,0.413648803
9/7/2020,AL,0.940730758,77.5,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",-1.747800496,0.351794777
9/8/2020,AL,0.946411007,79.5,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",-1.639525204,0.599210883
9/9/2020,AL,0.952354642,80,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",-1.526229323,0.66106491
9/10/2020,AL,0.952945947,81,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",-1.514958035,0.784772963
9/11/2020,AL,0.958651581,82.5,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",-1.406198861,0.970335043
9/12/2020,AL,0.964636829,82,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",-1.292109765,0.908481016
9/13/2020,AL,0.967504114,83,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",-1.237454393,1.03218907
9/14/2020,AL,0.972895929,80.5,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",-1.134677148,0.722918936
9/15/2020,AL,0.981350556,77,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",-0.97351745,0.28994075
9/16/2020,AL,0.991036266,71.5,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",-0.788891199,-0.390453543
9/17/2020,AL,1.00033738,78,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",-0.611596007,0.413648803
9/18/2020,AL,1.007963822,75,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",-0.466222937,0.042524643
9/19/2020,AL,1.022547108,70,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",-0.188240484,-0.576015623
9/20/2020,AL,1.031739046,67.5,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",-0.013026374,-0.885285756
9/21/2020,AL,1.037494592,67,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",0.096684208,-0.947139783
9/22/2020,AL,1.046709854,67.5,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",0.272342913,-0.885285756
9/23/2020,AL,1.055259594,73.5,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",0.435315628,-0.143037437
9/24/2020,AL,1.064361841,71.5,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",0.608820073,-0.390453543
9/25/2020,AL,1.06876057,71.5,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",0.692667395,-0.390453543
9/26/2020,AL,1.073599291,74.5,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",0.78490172,-0.019329383
9/27/2020,AL,1.082901407,77.5,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",0.962216011,0.351794777
9/28/2020,AL,1.090794721,74.5,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",1.11267612,-0.019329383
9/29/2020,AL,1.090655518,63,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",1.110022672,-1.441971996
9/30/2020,AL,1.0918463,64,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",1.13272102,-1.318263943
10/1/2020,AL,1.093960482,67.5,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",1.173020956,-0.885285756
10/2/2020,AL,1.094251392,62,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",1.1785662,-1.565680049
10/3/2020,AL,1.094831212,61.5,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",1.189618564,-1.627534076
10/4/2020,AL,1.097679866,64,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",1.243918797,-1.318263943
10/5/2020,AL,1.099210308,67,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",1.273091647,-0.947139783
10/6/2020,AL,1.098375235,71,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",1.257173723,-0.45230757
10/7/2020,AL,1.095613698,75.5,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",1.20453409,0.10437867
10/8/2020,AL,1.094182552,75.5,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",1.177253991,0.10437867
10/9/2020,AL,1.090274014,75.5,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",1.102750551,0.10437867
10/10/2020,AL,1.088376076,74.5,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",1.066572596,-0.019329383
10/11/2020,AL,1.087777971,73.5,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",1.055171688,-0.143037437
10/12/2020,AL,1.082870169,76,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",0.961620561,0.166232697
10/13/2020,AL,1.079755956,70.5,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",0.902258318,-0.514161596
10/14/2020,AL,1.078638631,68.5,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",0.880960187,-0.761577703
10/15/2020,AL,1.077232927,72,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",0.854165056,-0.328599517
10/16/2020,AL,1.070380217,61,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",0.723540646,-1.689388103
10/17/2020,AL,1.072351281,58.5,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",0.761112508,-1.998658236
10/18/2020,AL,1.067582807,67,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",0.670217212,-0.947139783
10/19/2020,AL,1.069641333,72.5,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",0.709456249,-0.26674549
10/20/2020,AL,1.067616367,73,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",0.670856923,-0.204891463
10/21/2020,AL,1.065255709,74.5,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",0.625858731,-0.019329383
10/22/2020,AL,1.065608394,75.5,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",0.632581512,0.10437867
10/23/2020,AL,1.060182652,76,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",0.52915756,0.166232697
10/24/2020,AL,1.064411271,70,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",0.609762294,-0.576015623
10/25/2020,AL,1.064488579,66.5,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",0.611235917,-1.00899381
10/26/2020,AL,1.065036447,71,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",0.621679221,-0.45230757
10/27/2020,AL,1.064749515,72,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",0.616209805,-0.328599517
10/28/2020,AL,1.071565526,75.5,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",0.746134669,0.10437867
10/29/2020,AL,1.071661491,62,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",0.747963927,-1.565680049
10/30/2020,AL,1.06462273,53.5,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",0.613793065,-2.617198502
10/31/2020,AL,1.061108064,58,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",0.546797501,-2.060512263
11/1/2020,AL,1.067731217,62,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",0.673046161,-1.565680049
11/2/2020,AL,1.068508465,51,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",0.687861841,-2.926468636
11/3/2020,AL,1.068181733,53.5,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",0.681633769,-2.617198502
11/4/2020,AL,1.068895593,57.5,"Region 04 AL, FL, GA, KY, MS, NC, SC, TN",0.695241165,-2.122366289
8/1/2020,AR,0.936078493,79,"Region 06 AR, LA, NM, OK, TX",-1.94188827,0.768283289
8/2/2020,AR,0.935453854,78,"Region 06 AR, LA, NM, OK, TX",-1.955491031,0.675626008
8/3/2020,AR,0.939388598,78.5,"Region 06 AR, LA, NM, OK, TX",-1.869804126,0.721954648
8/4/2020,AR,0.942136682,77,"Region 06 AR, LA, NM, OK, TX",-1.809959112,0.582968727
8/5/2020,AR,0.942936006,74,"Region 06 AR, LA, NM, OK, TX",-1.792552236,0.304996883
8/6/2020,AR,0.947115397,76,"Region 06 AR, LA, NM, OK, TX",-1.701537655,0.490311446
8/7/2020,AR,0.947222608,79,"Region 06 AR, LA, NM, OK, TX",-1.699202921,0.768283289
8/8/2020,AR,0.951353509,82,"Region 06 AR, LA, NM, OK, TX",-1.609244307,1.046255132
8/9/2020,AR,0.951463311,85,"Region 06 AR, LA, NM, OK, TX",-1.606853149,1.324226975
8/10/2020,AR,0.951084452,86,"Region 06 AR, LA, NM, OK, TX",-1.61510356,1.416884256
8/11/2020,AR,0.951378584,84.5,"Region 06 AR, LA, NM, OK, TX",-1.608698248,1.277898334
8/12/2020,AR,0.959490644,78.5,"Region 06 AR, LA, NM, OK, TX",-1.43204195,0.721954648
8/13/2020,AR,0.962483941,81.5,"Region 06 AR, LA, NM, OK, TX",-1.366856933,0.999926491
8/14/2020,AR,0.962893922,82.5,"Region 06 AR, LA, NM, OK, TX",-1.357928778,1.092583772
8/15/2020,AR,0.965977439,85,"Region 06 AR, LA, NM, OK, TX",-1.290779041,1.324226975
8/16/2020,AR,0.970329028,82,"Region 06 AR, LA, NM, OK, TX",-1.196014504,1.046255132
8/17/2020,AR,0.969496616,78,"Region 06 AR, LA, NM, OK, TX",-1.214141937,0.675626008
8/18/2020,AR,0.97519759,81,"Region 06 AR, LA, NM, OK, TX",-1.089991849,0.953597851
8/19/2020,AR,0.977232559,78.5,"Region 06 AR, LA, NM, OK, TX",-1.045676337,0.721954648
8/20/2020,AR,0.978199858,77,"Region 06 AR, LA, NM, OK, TX",-1.02461147,0.582968727
8/21/2020,AR,0.980820931,79,"Region 06 AR, LA, NM, OK, TX",-0.967532374,0.768283289
8/22/2020,AR,0.982820021,78,"Region 06 AR, LA, NM, OK, TX",-0.923998199,0.675626008
8/23/2020,AR,0.984917815,80.5,"Region 06 AR, LA, NM, OK, TX",-0.878314547,0.90726921
8/24/2020,AR,0.984291637,82,"Region 06 AR, LA, NM, OK, TX",-0.891950823,1.046255132
8/25/2020,AR,0.98742938,83.5,"Region 06 AR, LA, NM, OK, TX",-0.823620206,1.185241053
8/26/2020,AR,0.989092356,81.5,"Region 06 AR, LA, NM, OK, TX",-0.787405584,0.999926491
8/27/2020,AR,0.994260971,73.5,"Region 06 AR, LA, NM, OK, TX",-0.674848676,0.258668243
8/28/2020,AR,0.996846636,83.5,"Region 06 AR, LA, NM, OK, TX",-0.618540659,1.185241053
8/29/2020,AR,0.994692792,84.5,"Region 06 AR, LA, NM, OK, TX",-0.665444911,1.277898334
8/30/2020,AR,0.992075052,80.5,"Region 06 AR, LA, NM, OK, TX",-0.722451425,0.90726921
8/31/2020,AR,0.99815883,78.5,"Region 06 AR, LA, NM, OK, TX",-0.589965015,0.721954648
9/1/2020,AR,1.001827862,79,"Region 06 AR, LA, NM, OK, TX",-0.51006452,0.768283289
9/2/2020,AR,1.006138951,77.5,"Region 06 AR, LA, NM, OK, TX",-0.416181952,0.629297367
9/3/2020,AR,1.004818788,78.5,"Region 06 AR, LA, NM, OK, TX",-0.444931136,0.721954648
9/4/2020,AR,1.010509141,81,"Region 06 AR, LA, NM, OK, TX",-0.321012341,0.953597851
9/5/2020,AR,1.012996348,76.5,"Region 06 AR, LA, NM, OK, TX",-0.266848444,0.536640086
9/6/2020,AR,1.016354528,77.5,"Region 06 AR, LA, NM, OK, TX",-0.193717372,0.629297367
9/7/2020,AR,1.018172267,78.5,"Region 06 AR, LA, NM, OK, TX",-0.154132477,0.721954648
9/8/2020,AR,1.018221879,79,"Region 06 AR, LA, NM, OK, TX",-0.153052076,0.768283289
9/9/2020,AR,1.021021262,80.5,"Region 06 AR, LA, NM, OK, TX",-0.092089924,0.90726921
9/10/2020,AR,1.020694466,80.5,"Region 06 AR, LA, NM, OK, TX",-0.099206559,0.90726921
9/11/2020,AR,1.020187612,80,"Region 06 AR, LA, NM, OK, TX",-0.110244317,0.86094057
9/12/2020,AR,1.016796724,81,"Region 06 AR, LA, NM, OK, TX",-0.184087671,0.953597851
9/13/2020,AR,1.022182993,78.5,"Region 06 AR, LA, NM, OK, TX",-0.066790912,0.721954648
9/14/2020,AR,1.0237247,77.5,"Region 06 AR, LA, NM, OK, TX",-0.033217165,0.629297367
9/15/2020,AR,1.027665677,77,"Region 06 AR, LA, NM, OK, TX",0.052605476,0.582968727
9/16/2020,AR,1.023792795,78.5,"Region 06 AR, LA, NM, OK, TX",-0.031734261,0.721954648
9/17/2020,AR,1.027162726,78,"Region 06 AR, LA, NM, OK, TX",0.041652714,0.675626008
9/18/2020,AR,1.029046234,71.5,"Region 06 AR, LA, NM, OK, TX",0.08266986,0.073353681
9/19/2020,AR,1.031806797,67,"Region 06 AR, LA, NM, OK, TX",0.142786629,-0.343604084
9/20/2020,AR,1.037619781,69,"Region 06 AR, LA, NM, OK, TX",0.269375959,-0.158289522
9/21/2020,AR,1.040350245,68,"Region 06 AR, LA, NM, OK, TX",0.328837263,-0.250946803
9/22/2020,AR,1.042955116,66,"Region 06 AR, LA, NM, OK, TX",0.385563528,-0.436261365
9/23/2020,AR,1.048515262,61.5,"Region 06 AR, LA, NM, OK, TX",0.506646806,-0.85321913
9/24/2020,AR,1.052863145,65,"Region 06 AR, LA, NM, OK, TX",0.601330637,-0.528918646
9/25/2020,AR,1.054782391,66,"Region 06 AR, LA, NM, OK, TX",0.64312605,-0.436261365
9/26/2020,AR,1.055273447,65.5,"Region 06 AR, LA, NM, OK, TX",0.653819774,-0.482590005
9/27/2020,AR,1.055739721,70.5,"Region 06 AR, LA, NM, OK, TX",0.663973821,-0.0193036
9/28/2020,AR,1.051804886,65,"Region 06 AR, LA, NM, OK, TX",0.578284935,-0.528918646
9/29/2020,AR,1.058783137,61.5,"Region 06 AR, LA, NM, OK, TX",0.73025028,-0.85321913
